SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio, sum of aromatics
505.0, 0.775, 503.0, 0.305, 530.0, 0.033, 517.0, 0.356, 973.0, 0.439, 64485.105142
511.0, 0.12, 535.0, 0.99, 513.0, 0.302, 517.0, 0.924, 1071.0, 0.533, 79367.50412199998
513.0, 0.544, 524.0, 0.852, 501.0, 0.061, 513.0, 0.445, 1065.0, 0.47, 73609.880454
502.0, 0.173, 537.0, 0.057, 514.0, 0.945, 510.0, 0.148, 919.0, 0.47, 63054.59384999999
525.0, 0.633, 519.0, 0.461, 503.0, 0.552, 501.0, 0.317, 1026.0, 0.485, 73014.70006100001
540.0, 0.737, 521.0, 0.021, 524.0, 0.408, 533.0, 0.777, 1074.0, 0.593, 79475.77831
538.0, 0.945, 503.0, 0.078, 506.0, 0.521, 502.0, 0.604, 1054.0, 0.406, 73239.981471
511.0, 0.27, 510.0, 0.266, 512.0, 0.803, 534.0, 0.799, 907.0, 0.508, 69327.70429
525.0, 0.997, 506.0, 0.716, 507.0, 0.389, 530.0, 0.285, 1055.0, 0.405, 75336.454376
535.0, 0.635, 505.0, 0.172, 536.0, 0.14, 536.0, 0.43, 964.0, 0.54, 71450.694736
501.0, 0.686, 510.0, 0.457, 535.0, 0.711, 524.0, 0.182, 1041.0, 0.532, 75933.097627
511.0, 0.904, 540.0, 0.323, 540.0, 0.943, 531.0, 0.466, 973.0, 0.496, 74701.031351
505.0, 0.704, 522.0, 0.331, 504.0, 0.138, 505.0, 0.58, 945.0, 0.466, 66261.20094899999
517.0, 0.708, 511.0, 0.498, 523.0, 0.143, 532.0, 0.032, 1041.0, 0.469, 67372.0016
504.0, 0.748, 511.0, 0.589, 508.0, 0.934, 502.0, 0.712, 935.0, 0.411, 68657.96774200001
524.0, 0.333, 530.0, 0.756, 515.0, 0.916, 536.0, 0.974, 940.0, 0.536, 72791.13552899999
522.0, 0.31, 511.0, 0.441, 538.0, 0.791, 523.0, 0.064, 1088.0, 0.442, 78177.169871
533.0, 0.514, 531.0, 0.397, 521.0, 0.347, 513.0, 0.608, 991.0, 0.582, 75011.591009
531.0, 0.551, 506.0, 0.715, 501.0, 0.142, 528.0, 0.127, 1043.0, 0.409, 69865.727186
530.0, 0.33, 504.0, 0.029, 511.0, 0.632, 536.0, 0.049, 906.0, 0.514, 58900.611882000005
525.0, 0.733, 535.0, 0.903, 519.0, 0.13, 529.0, 0.087, 1080.0, 0.483, 74900.39994999999
503.0, 0.536, 519.0, 0.247, 534.0, 0.104, 512.0, 0.222, 914.0, 0.495, 62789.062346000006
512.0, 0.12, 504.0, 0.249, 537.0, 0.298, 526.0, 0.67, 932.0, 0.447, 70193.27506299998
526.0, 0.697, 516.0, 0.018, 514.0, 0.006, 504.0, 0.381, 1004.0, 0.543, 57795.443675999995
503.0, 0.647, 536.0, 0.936, 540.0, 0.537, 530.0, 0.985, 1070.0, 0.528, 82048.517859
502.0, 0.61, 501.0, 0.994, 534.0, 0.932, 518.0, 0.192, 1009.0, 0.595, 73306.296073
512.0, 0.247, 514.0, 0.81, 522.0, 0.841, 538.0, 0.43, 930.0, 0.554, 70375.491458
531.0, 0.861, 530.0, 0.938, 533.0, 0.916, 517.0, 0.54, 1088.0, 0.505, 82077.306541
507.0, 0.757, 538.0, 0.579, 524.0, 0.736, 535.0, 0.537, 914.0, 0.533, 70144.389605
523.0, 0.801, 524.0, 0.614, 524.0, 0.085, 507.0, 0.938, 944.0, 0.45, 69011.91537700001
513.0, 0.132, 520.0, 0.747, 533.0, 0.999, 502.0, 0.148, 992.0, 0.458, 72050.624907
532.0, 0.302, 526.0, 0.205, 516.0, 0.282, 521.0, 0.004, 998.0, 0.52, 63402.407523999995
535.0, 0.587, 530.0, 0.385, 538.0, 0.072, 505.0, 0.204, 991.0, 0.417, 68443.08975999999
514.0, 0.483, 528.0, 0.045, 533.0, 0.838, 501.0, 0.817, 1049.0, 0.445, 76769.721141
500.0, 0.152, 521.0, 0.72, 536.0, 0.1, 536.0, 0.776, 931.0, 0.404, 69834.147458
523.0, 0.099, 510.0, 0.43, 513.0, 0.083, 506.0, 0.693, 997.0, 0.568, 69087.20994700001
514.0, 0.292, 511.0, 0.538, 514.0, 0.367, 535.0, 0.834, 923.0, 0.578, 70637.51562
538.0, 0.955, 527.0, 0.501, 506.0, 0.803, 501.0, 0.545, 1093.0, 0.5, 80196.71038799999
507.0, 0.25, 527.0, 0.55, 512.0, 0.267, 514.0, 0.594, 927.0, 0.54, 68508.536199
