SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
500,0.545,529,0.21,511,0.303,523,0.574,955,0.575,0.664001332
508,0.119,502,0.527,503,0.393,514,0.827,1085,0.411,0.640960585
514,0.915,528,0.834,507,0.406,518,0.038,944,0.445,0.619043148
521,0.11,504,0.833,528,0.58,501,0.599,994,0.51,0.654501926
535,0.136,530,0.008,531,0.874,536,0.139,1077,0.451,0.609566484
538,0.775,510,0.939,516,0.979,536,0.861,981,0.573,0.680737815
524,0.447,527,0.458,531,0.625,534,0.984,930,0.427,0.703815207
523,0.145,515,0.57,520,0.209,540,0.866,1001,0.413,0.682968796
510,0.197,512,0.38,523,0.683,522,0.719,962,0.41,0.678685799
525,0.668,537,0.189,528,0.881,518,0.252,965,0.578,0.671672073
507,0.462,540,0.669,505,0.235,528,0.225,938,0.445,0.648284575
510,0.154,530,0.81,537,0.144,501,0.048,991,0.44,0.594291532
532,0.1,536,0.283,506,0.035,507,0.754,1001,0.549,0.62113268
531,0.039,512,0.972,522,0.528,505,0.118,1096,0.59,0.610267117
537,0.282,520,0.297,516,0.35,535,0.009,1056,0.434,0.584042542
501,0.969,512,0.752,503,0.341,509,0.877,906,0.524,0.652777166
507,0.787,502,0.709,536,0.746,540,0.592,910,0.596,0.681867945
536,0.97,510,0.897,524,0.456,540,0.023,1087,0.486,0.625993256
525,0.768,510,0.646,501,0.336,525,0.46,982,0.413,0.652075427
509,0.552,519,0.095,528,0.805,508,0.446,939,0.535,0.656390473
528,0.619,517,0.805,513,0.572,540,0.055,1032,0.503,0.637061392
540,0.528,531,0.566,508,0.237,527,0.263,1002,0.567,0.658404226
511,0.056,533,0.999,511,0.668,538,0.789,1063,0.406,0.674465444
506,0.337,538,0.184,528,0.372,531,0.859,997,0.404,0.693409974
527,0.99,503,0.835,517,0.318,518,0.947,966,0.485,0.662920755
525,0.264,503,0.384,511,0.891,540,0.404,986,0.528,0.673824488
539,0.567,520,0.529,511,0.982,519,0.023,1086,0.472,0.635483742
528,0.747,540,0.847,530,0.98,507,0.459,1032,0.59,0.67820205
530,0.68,505,0.757,502,0.31,515,0.541,1020,0.595,0.649160788
537,0.238,515,0.843,511,0.427,510,0.505,1042,0.587,0.657160906
501,0.036,515,0.433,531,0.059,534,0.323,1010,0.42,0.606654725
536,0.668,540,0.232,523,0.523,537,0.045,1024,0.549,0.64403272
540,0.679,537,0.294,538,0.233,535,0.432,1039,0.402,0.684783877
503,0.935,534,0.26,540,0.857,532,0.016,985,0.429,0.646445708
527,0.005,520,0.364,501,0.83,534,0.637,960,0.485,0.655166693
518,0.192,505,0.441,531,0.376,512,0.782,992,0.479,0.671246062
511,0.347,538,0.628,525,0.871,508,0.011,1029,0.437,0.645441105
530,0.107,513,0.242,531,0.318,531,0.946,964,0.586,0.692542069
513,0.841,516,0.992,500,0.797,521,0.575,1058,0.467,0.657049751
538,0.291,509,0.852,524,0.804,501,0.708,946,0.568,0.673358141
529,0.55,537,0.771,508,0.639,509,0.203,1074,0.477,0.65236567
532,0.555,508,0.783,532,0.186,540,0.763,1093,0.527,0.679381081
538,0.058,521,0.325,518,0.191,539,0.501,1056,0.432,0.660325078
533,0.951,540,0.389,500,0.584,537,0.672,937,0.416,0.683015785
527,0.343,514,0.331,536,0.919,540,0.864,1084,0.401,0.699256967
517,0.34,500,0.365,516,0.961,505,0.123,989,0.579,0.627903344
534,0.35,510,0.559,525,0.357,518,0.359,965,0.55,0.664905146
523,0.155,504,0.896,524,0.053,500,0.071,998,0.485,0.547791224
516,0.068,525,0.829,500,0.761,527,0.575,1037,0.415,0.659592728
527,0.951,506,0.4,536,0.801,536,0.587,967,0.52,0.682282823
517,0.731,528,0.531,535,0.979,518,0.712,1068,0.428,0.684573415
536,0.269,522,0.317,515,0.774,503,0.118,955,0.59,0.64184648
540,0.39,509,0.017,507,0.857,509,0.23,919,0.598,0.610480138
528,0.308,500,0.142,533,0.888,501,0.542,961,0.547,0.661198719
518,0.177,508,0.955,500,0.016,520,0.456,1055,0.504,0.59809254
525,0.476,501,0.822,507,0.697,511,0.842,1054,0.582,0.662557378
501,0.383,510,0.853,530,0.171,516,0.259,929,0.456,0.632113813
518,0.823,506,0.005,540,0.141,520,0.05,941,0.549,0.535602331
521,0.047,522,0.225,510,0.969,522,0.504,1057,0.47,0.652619492
517,0.73,512,0.361,517,0.538,516,0.869,1011,0.511,0.67215238
529,0.693,530,0.802,532,0.033,514,0.36,1023,0.46,0.63134036
523,0.626,518,0.393,537,0.561,537,0.942,1022,0.513,0.699025228
518,0.824,539,0.175,521,0.215,515,0.186,1022,0.413,0.619870925
